LIMIT_BAL_clean,SEX,EDUCATION,MARRIAGE,AGE,PAY_SEPT,PAY_AUG,PAY_JUL,PAY_JUN,PAY_MAY,PAY_APR,BILL_AMT_SEPT_clean,BILL_AMT_AUG_clean,BILL_AMT_JUL_clean,BILL_AMT_JUN_clean,BILL_AMT_MAY_clean,BILL_AMT_APR_clean,PAY_AMT_SEPT_clean,PAY_AMT_AUG_clean,PAY_AMT_JUL_clean,PAY_AMT_JUN_clean,PAY_AMT_MAY_clean,PAY_AMT_APR_clean
10000,1,2,1,39,3,2,2,2,2,2,845.6235043444121,845.6235043444121,845.6235043444121,845.6235043444121,845.6235043444121,1504.1699903457509,0.0,0.0,0,0.0,658.5464860013388,0.0
30000,0,2,1,35,0,0,0,0,0,0,25239.0,26847.0,26319.0,26868.0,25345.0,26781.0,3000.0,3000.0,2000,3304.0,2000.0,3000.0
30000,1,2,1,62,0,0,0,-2,-2,-2,11188.0,2990.0,0.0,0.0,0.0,0.0,1000.0,0.0,0,0.0,0.0,0.0
210000,0,2,1,42,-2,-2,-2,-2,-2,-2,7065.0,1459.0,1835.0,2396.0,0.0,0.0,1459.0,1835.0,2396,0.0,0.0,0.0
20000,1,3,1,28,0,0,0,2,0,0,19794.0,19519.0,20464.0,19756.0,19978.0,11680.0,1304.0,2900.0,0,773.0,626.0,8554.0
30000,1,2,2,25,-2,-2,-2,-2,-2,-2,836.0,836.0,390.0,390.0,390.0,0.0,836.0,390.0,390,390.0,0.0,780.0
50000,1,1,2,31,0,0,0,0,0,0,49139.0,49281.0,42472.0,44810.0,45699.0,46675.0,1707.0,1948.0,11746,1635.0,1712.0,4000.0
50000,0,2,1,41,2,2,2,2,2,0,17028.0,20543.0,21919.0,20828.0,20272.0,18816.0,3828.0,2000.0,600,0.0,637.0,700.0
50000,1,2,1,32,0,1,1,0,0,0,15176.316897184435,15066.149206624475,14092.79205076843,13810.44528663341,13931.130500165558,14535.116622048556,1460.144378282558,490.5081225452315,1386,1395.1751083987724,1811.0935660280347,1402.4719234449
20000,1,2,2,26,2,1,2,2,1,1,338.2830770434051,431.6713130276405,431.6713130276405,244.89484105916975,244.89484105916975,244.89484105916975,186.7764719684708,0.0,0,0.0,0.0,0.0
200000,1,2,2,36,-1,-1,-2,-1,-1,-1,2989.0,0.0,0.0,2989.0,9059.0,52248.0,0.0,0.0,2989,9059.0,52546.0,10380.0
400000,1,1,2,34,1,-2,-2,-1,-1,0,-5.0,-5.0,-5.0,1299.0,4374.0,4986.0,0.0,0.0,1304,4375.0,1025.0,2952.0
240000,1,1,2,33,0,0,0,0,0,0,85603.0,63733.0,61710.0,50106.0,18874.0,18994.0,2500.0,3354.0,1800,1000.0,1200.0,2000.0
130000,1,1,2,30,1,1,1,1,1,0,126560.19953890076,129590.35726118818,129639.67136486329,130669.7358715279,127761.1182032243,129410.6343920705,6910.782999117864,4905.391499558932,5000,1450.663673429709,5013.778373733235,4550.66323655787
59104,0,2,1,22,0,1,1,0,0,0,51926.27594301463,52324.47158426781,47928.97351215493,29313.758759432578,28136.59413243864,27787.366135793756,2015.4078792969,136.1632858246344,1050,998.1352891871214,1017.9409891032436,1124.9907795485335
50000,0,2,2,23,0,0,0,0,-1,2,16139.0,17261.0,14354.0,8713.0,1781.0,1615.0,1400.0,1000.0,500,1781.0,0.0,0.0
270000,0,1,2,28,-1,-1,-1,0,0,0,475.0,475.0,5691.0,37526.0,50565.0,48888.0,475.0,5691.0,34000,14000.0,8000.0,15000.0
259554,1,1,1,30,0,-1,-1,0,0,-1,1194.3043781499116,301.96295461096673,569.0316268626369,284.51581343131846,85.85419535783508,936.321399366276,301.96295461096673,569.0316268626369,0,85.85419535783508,64797.46984931642,1009.6579622319526
50000,0,2,2,42,0,0,0,0,-1,-1,50221.0,49664.0,49611.0,2190.0,19769.0,19335.0,2215.0,1462.0,248,20787.0,21402.0,522.0
50000,0,2,1,27,0,0,0,1,0,0,38312.15465197747,38418.29144375001,40495.639468738686,39753.11316247733,35411.51499040688,27059.888425402307,1743.1602144718963,2820.508239460573,158,1274.7558069752934,851.3670834768785,557.8121894832196
50000,0,3,1,58,1,2,2,2,0,0,24135.0,23454.0,26755.0,26026.0,27310.0,29729.0,0.0,4000.0,0,2000.0,3000.0,0.0
